NetlID,Lib,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError,ErrorRange,Variance,MultPrecision,MultID
5,egfet,14748874.01,14182791.0,14246160.0,11967043.0,0.001126,0.5114,0.03653,12.16,0.0,0.0,80.0,80.0,364.7,4,3
6,egfet,14748874.01,14182791.0,14246160.0,11967043.0,0.001126,0.5114,0.03653,12.16,0.0,0.0,80.0,80.0,364.7,4,3
7,egfet,14748874.01,14182791.0,12767120.0,8213729.0,0.001163,0.6339,0.03839,16.42,0.0,0.0,96.0,96.0,625.8,4,3
8,egfet,14748874.01,14182791.0,12767120.0,8213729.0,0.001163,0.6339,0.03839,16.42,0.0,0.0,96.0,96.0,625.8,4,3
9,egfet,14748874.01,14182791.0,12479220.0,9281121.0,0.0009829,0.7569,0.04547,18.15,0.0,0.0,48.0,48.0,188.1,4,3
-1,egfet,22423946.0,21840072.0,32504157.0,21840072.0,0.002002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
0,egfet,22423946.0,21840072.0,33435574.0,22287404.0,0.002313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
1,egfet,22423946.0,21840072.0,33943167.0,21532930.0,0.002536,0.2472,0.002681,1.978,0.0,0.0,8.0,8.0,11.91,5,1
2,egfet,22423946.0,21840072.0,33943167.0,21532930.0,0.002536,0.2472,0.002681,1.978,0.0,0.0,8.0,8.0,11.91,5,1
3,egfet,22423946.0,21840072.0,33505147.0,21680702.0,0.002531,0.5071,0.008234,4.057,0.0,0.0,8.0,8.0,16.0,5,1
4,egfet,22423946.0,21840072.0,26524814.0,22172062.0,0.001979,0.6915,0.03007,14.11,0.0,0.0,32.0,32.0,124.1,5,1
5,egfet,22423946.0,21840072.0,30401374.0,22101684.0,0.002277,0.7546,0.03588,18.72,0.0,0.0,48.0,48.0,219.5,5,1
6,egfet,22423946.0,21840072.0,32794274.0,22378812.0,0.002487,0.5002,0.05421,20.03,0.0,0.0,72.0,72.0,913.2,5,1
7,egfet,22423946.0,21840072.0,29674677.0,22269590.0,0.002362,0.9052,0.04603,23.51,0.0,0.0,72.0,72.0,308.8,5,1
8,egfet,22423946.0,21840072.0,32794274.0,22378812.0,0.002487,0.7528,0.0637,24.02,0.0,0.0,80.0,80.0,927.7,5,1
9,egfet,22423946.0,21840072.0,23832187.0,22222542.0,0.00152,0.8159,0.06628,25.73,0.0,0.0,72.0,72.0,541.3,5,1
-1,egfet,21481100.0,21279214.0,36714794.0,21279214.0,0.002485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2
0,egfet,21481100.0,21279214.0,35946570.0,22479300.0,0.002458,0.0323,0.003685,4.134,0.0,0.0,128.0,128.0,512.1,5,2
1,egfet,21481100.0,21279214.0,32655214.0,21105424.0,0.002235,0.4991,0.03197,16.24,0.0,0.0,496.0,496.0,4091.0,5,2
2,egfet,21481100.0,21279214.0,33754304.0,21365376.0,0.002458,0.537,0.02228,14.99,0.0,0.0,512.0,512.0,1900.0,5,2
3,egfet,21481100.0,21279214.0,31358764.0,21305234.0,0.002144,0.7491,0.02342,12.0,0.0,0.0,24.0,24.0,80.27,5,2
4,egfet,21481100.0,21279214.0,30413347.0,21856406.0,0.002066,0.561,0.03673,17.89,0.0,0.0,128.0,128.0,830.4,5,2
5,egfet,21481100.0,21279214.0,27742317.0,21014876.0,0.00184,0.6578,0.05884,29.19,0.0,0.0,180.0,180.0,1626.0,5,2
6,egfet,21481100.0,21279214.0,27254467.0,15737877.0,0.001861,0.6901,0.0575,31.24,0.0,0.0,80.0,80.0,771.6,5,2
7,egfet,21481100.0,21279214.0,27254467.0,15737877.0,0.001861,0.6901,0.0575,31.24,0.0,0.0,80.0,80.0,771.6,5,2
8,egfet,21481100.0,21279214.0,24861174.0,16755335.0,0.001701,0.8155,0.06621,32.28,0.0,0.0,112.0,112.0,776.6,5,2
9,egfet,21481100.0,21279214.0,23283000.0,20082720.0,0.001486,0.9054,0.0792,43.21,0.0,0.0,192.0,192.0,1261.0,5,2
-1,egfet,26357228.0,26317276.0,37474447.0,26317276.0,0.002266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3
0,egfet,26357228.0,26317276.0,31035157.0,26345724.0,0.001962,0.2453,0.01278,5.829,0.0,0.0,48.0,48.0,150.7,5,3
1,egfet,26357228.0,26317276.0,31445627.0,26856286.0,0.001931,0.4969,0.01883,9.854,0.0,0.0,48.0,48.0,152.0,5,3
2,egfet,26357228.0,26317276.0,28605050.0,26205586.0,0.001695,0.6198,0.02165,11.34,0.0,0.0,56.0,56.0,168.0,5,3
3,egfet,26357228.0,26317276.0,32056870.0,24118120.0,0.002176,0.6192,0.03692,16.98,0.0,0.0,48.0,48.0,227.3,5,3
4,egfet,26357228.0,26317276.0,29275124.0,26133626.0,0.001898,0.7458,0.03783,17.95,0.0,0.0,48.0,48.0,190.1,5,3
5,egfet,26357228.0,26317276.0,29275124.0,26133626.0,0.001898,0.7458,0.03783,17.95,0.0,0.0,48.0,48.0,190.1,5,3
6,egfet,26357228.0,26317276.0,25885767.0,24196700.0,0.001612,0.6543,0.05636,19.05,0.0,0.0,64.0,64.0,285.1,5,3
7,egfet,26357228.0,26317276.0,24181047.0,24196696.0,0.001533,0.7809,0.05728,20.02,0.0,0.0,64.0,64.0,244.0,5,3
8,egfet,26357228.0,26317276.0,24181047.0,24196696.0,0.001533,0.7809,0.05728,20.02,0.0,0.0,64.0,64.0,244.0,5,3
9,egfet,26357228.0,26317276.0,22686127.0,22261558.0,0.001357,0.8709,0.046,19.98,0.0,0.0,56.0,56.0,207.1,5,3
-1,egfet,27728888.0,27660304.0,54172014.0,27660304.0,0.003367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1
0,egfet,27728888.0,27660304.0,46489504.0,28551456.0,0.003052,0.5282,0.02961,15.07,0.0,0.0,64.0,64.0,356.4,6,1
1,egfet,27728888.0,27660304.0,45446704.0,28551458.0,0.003038,0.7482,0.03015,17.04,0.0,0.0,56.0,56.0,258.9,6,1
2,egfet,27728888.0,27660304.0,38878980.0,27335846.0,0.002633,0.9838,0.07489,63.49,0.0,0.0,128.0,128.0,1207.0,6,1
3,egfet,27728888.0,27660304.0,40268420.0,27593668.0,0.002674,0.8741,0.08397,67.84,0.0,0.0,152.0,152.0,3074.0,6,1
4,egfet,27728888.0,27660304.0,40268420.0,27593668.0,0.002674,0.8727,0.09064,72.25,0.0,0.0,152.0,152.0,3461.0,6,1
5,egfet,27728888.0,27660304.0,40268420.0,27593668.0,0.002674,0.8727,0.09064,72.25,0.0,0.0,152.0,152.0,3461.0,6,1
6,egfet,27728888.0,27660304.0,40753377.0,28747972.0,0.002565,1.0,0.105,74.98,0.0,8.0,168.0,160.0,3069.0,6,1
7,egfet,27728888.0,27660304.0,40753377.0,28747972.0,0.002565,1.0,0.1029,77.13,0.0,8.0,184.0,176.0,3776.0,6,1
8,egfet,27728888.0,27660304.0,31750987.0,22747058.0,0.001931,1.0,0.09874,81.73,0.0,8.0,184.0,176.0,3226.0,6,1
9,egfet,27728888.0,27660304.0,30731860.0,22020188.0,0.002058,0.9693,0.1505,110.7,0.0,0.0,352.0,352.0,6221.0,6,1
-1,egfet,27807384.0,27640238.0,52352098.0,27640238.0,0.003336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2
0,egfet,27807384.0,27640238.0,55051724.0,28108624.0,0.003454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2
1,egfet,27807384.0,27640238.0,54071691.0,27661016.0,0.003622,0.2541,0.003354,2.508,0.0,0.0,20.0,20.0,29.64,6,2
2,egfet,27807384.0,27640238.0,54818231.0,27223208.0,0.003525,0.505,0.005558,4.04,0.0,0.0,8.0,8.0,16.0,6,2
3,egfet,27807384.0,27640238.0,52332771.0,27584058.0,0.003565,0.6842,0.01046,8.994,0.0,0.0,32.0,32.0,96.85,6,2
