NetlID,Lib,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError,ErrorRange,Variance,MultPrecision,MultID
4,egfet,4712829.0,4712829.0,4758510.0,5934313.0,0.0008203,0.625,0.1568,3.0,0.9998,0.0,8.0,8.0,6.997,3,3
5,egfet,4712829.0,4712829.0,4758510.0,5934313.0,0.0008203,0.625,0.1568,3.0,0.9998,0.0,8.0,8.0,6.997,3,3
6,egfet,4712829.0,4712829.0,4758510.0,5934313.0,0.0008203,0.625,0.1568,3.0,0.9998,0.0,8.0,8.0,6.997,3,3
7,egfet,4712829.0,4712829.0,4758510.0,5934313.0,0.0008203,0.625,0.1568,3.0,0.9998,0.0,8.0,8.0,6.997,3,3
8,egfet,4712829.0,4712829.0,3304640.0,6871496.0,0.0004766,0.8445,0.4819,6.512,2.171,0.0,32.0,32.0,72.94,3,3
9,egfet,4712829.0,4712829.0,3304640.0,6871496.0,0.0004766,0.8445,0.4819,6.512,2.171,0.0,32.0,32.0,72.94,3,3
10,egfet,4712829.0,4712829.0,3227860.0,5934313.0,0.0005817,0.9691,0.4943,7.01,2.337,0.0,32.0,32.0,69.19,3,3
11,egfet,4712829.0,4712829.0,3227860.0,5934313.0,0.0005817,0.9691,0.4943,7.01,2.337,0.0,32.0,32.0,69.19,3,3
12,egfet,4712829.0,4712829.0,3227860.0,5934313.0,0.0005817,0.9691,0.4943,7.01,2.337,0.0,32.0,32.0,69.19,3,3
13,egfet,4712829.0,4712829.0,3227860.0,5934313.0,0.0005817,0.9691,0.4943,7.01,2.337,0.0,32.0,32.0,69.19,3,3
14,egfet,4712829.0,4712829.0,2033420.0,4191801.0,0.000354,0.7502,0.2917,5.007,1.669,0.0,12.0,12.0,17.02,3,3
15,egfet,4712829.0,4712829.0,1557140.0,4191801.0,0.0003358,0.8747,0.2917,6.998,2.333,0.0,16.0,16.0,24.98,3,3
16,egfet,4712829.0,4712829.0,1557140.0,4191801.0,0.0003358,0.8747,0.2917,6.998,2.333,0.0,16.0,16.0,24.98,3,3
17,egfet,4712829.0,4712829.0,1557140.0,4191801.0,0.0003358,0.8747,0.2917,6.998,2.333,0.0,16.0,16.0,24.98,3,3
18,egfet,4712829.0,4712829.0,1557140.0,4191801.0,0.0003358,0.8747,0.2917,6.998,2.333,0.0,16.0,16.0,24.98,3,3
19,egfet,4712829.0,4712829.0,1557140.0,4191801.0,0.0003358,0.8747,0.2917,6.998,2.333,0.0,16.0,16.0,24.98,3,3
-1,egfet,12797137.01,12797128.0,17926770.0,12797128.0,0.001465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1
0,egfet,12797137.01,12797128.0,10458250.0,8830375.0,0.0009511,0.7501,0.2962,19.54,6.514,0.0,200.0,200.0,2372.0,4,1
1,egfet,12797137.01,12797128.0,11225360.0,9274962.0,0.0009647,0.8752,0.1842,13.01,4.336,0.0,24.0,24.0,74.91,4,1
2,egfet,12797137.01,12797128.0,7039160.0,8867552.0,0.0006162,0.875,0.233,15.02,5.006,0.0,48.0,48.0,191.1,4,1
3,egfet,12797137.01,12797128.0,6322700.0,6486652.0,0.0005385,0.9375,0.3533,23.54,7.847,0.0,188.0,188.0,1959.0,4,1
4,egfet,12797137.01,12797128.0,5634480.0,9092296.0,0.00045,0.7508,0.1762,16.02,5.342,0.0,62.0,62.0,398.5,4,1
5,egfet,12797137.01,12797128.0,4495460.0,8867491.0,0.0004186,1.0,0.2064,16.26,5.419,2.0,32.0,30.0,97.85,4,1
6,egfet,12797137.01,12797128.0,4495460.0,8867491.0,0.0004186,1.0,0.2064,16.26,5.419,2.0,32.0,30.0,97.85,4,1
